name,gender,race,age,unique,shapley,cq,trial
E_676,Male,NonWhite,18-24,2.2,1.0,1.0,6
E_677,Male,White,25-34,1.6,1.0,1.0,6
E_678,Male,White,25-34,0.4,1.0,1.0,6
E_685,NonMale,White,45-54,0.2,1.0,1.0,6
E_704,Male,White,45-54,1.8,1.0,1.0,6
E_681,Male,White,25-34,2.4,1.0,1.0,6
E_700,NonMale,White,35-44,1.2,1.0,1.0,6
E_683,NonMale,White,35-44,2.6,1.0,1.0,6
E_684,Male,White,35-44,1.8,1.0,1.0,6
E_703,Male,White,35-44,0.0,1.0,1.0,6
E_721,Male,White,18-24,0.8,1.0,1.0,6
E_705,Male,White,25-34,4.2,1.0,1.0,6
E_712,NonMale,White,45-54,2.0,1.0,1.0,6
E_701,Male,White,25-34,0.8,1.0,1.0,6
E_714,NonMale,White,45-54,3.0,1.0,1.0,6
E_715,NonMale,NonWhite,35-44,1.0,1.0,1.0,6
E_722,Male,NonWhite,45-54,2.2,1.0,1.0,6
E_717,NonMale,White,25-34,2.2,1.0,1.0,6
E_724,Male,White,45-54,0.4,1.0,1.0,6
E_737,Male,White,18-24,0.0,1.0,1.0,6
E_744,NonMale,White,25-34,2.0,1.0,1.0,6
E_727,NonMale,NonWhite,35-44,2.4,1.0,1.0,6
E_728,Male,NonWhite,35-44,3.0,1.0,1.0,6
E_729,Male,White,55+,3.0,1.0,1.0,6
E_730,NonMale,White,55+,0.6,1.0,1.0,6
E_743,Male,White,55+,1.2,1.0,1.0,6
E_750,NonMale,White,25-34,4.2,1.0,1.0,6
E_751,NonMale,White,55+,1.6,1.0,1.0,6
E_734,NonMale,White,25-34,1.2,1.0,1.0,6
E_735,Male,NonWhite,25-34,2.6,1.0,1.0,6
E_748,NonMale,NonWhite,45-54,2.4,1.0,1.0,6
E_749,Male,NonWhite,18-24,3.6,1.0,1.0,6
E_756,Male,White,25-34,1.0,1.0,1.0,6
E_757,Male,White,25-34,0.4,1.0,1.0,6
E_740,Male,White,18-24,2.6,1.0,1.0,6
E_741,NonMale,NonWhite,25-34,2.8,1.0,1.0,6
E_754,NonMale,White,45-54,1.6,1.0,1.0,6
E_755,NonMale,NonWhite,25-34,2.4,1.0,1.0,6
E_762,NonMale,White,55+,2.8,1.0,1.0,6
E_770,Male,NonWhite,35-44,0.6,1.0,1.0,6
E_746,Male,White,18-24,1.6,1.0,1.0,6
E_747,NonMale,White,35-44,1.4,1.0,1.0,6
E_761,NonMale,NonWhite,25-34,0.6,1.0,1.0,6
E_765,NonMale,White,35-44,2.2,1.0,1.0,6
E_752,Male,White,35-44,0.8,1.0,1.0,6
E_753,NonMale,White,35-44,1.0,1.0,1.0,6
E_774,Male,NonWhite,35-44,2.4,1.0,1.0,6
E_758,NonMale,White,55+,0.0,1.0,1.0,6
E_759,NonMale,White,25-34,2.2,1.0,1.0,6
E_866,NonMale,White,35-44,1.6,1.0,1.0,6
E_869,NonMale,NonWhite,25-34,2.2,1.0,1.0,6
E_868,NonMale,White,45-54,1.8,1.0,1.0,6
E_862,Male,White,25-34,1.6,1.0,1.0,6
E_877,NonMale,NonWhite,45-54,2.0,1.0,1.0,6
E_850,NonMale,White,35-44,1.8,1.0,1.0,6
E_839,Male,White,35-44,0.4,1.0,1.0,6
E_840,Male,White,25-34,0.8,1.0,1.0,6
E_841,Male,White,45-54,3.0,1.0,1.0,6
E_842,Male,White,55+,2.6,1.0,1.0,6
E_856,Male,White,25-34,1.2,1.0,1.0,6
E_845,NonMale,White,45-54,1.2,1.0,1.0,6
E_846,Male,White,25-34,3.8,1.0,1.0,6
E_847,Male,White,45-54,0.8,1.0,1.0,6
E_848,NonMale,White,35-44,0.8,1.0,1.0,6
E_849,NonMale,NonWhite,45-54,3.4,1.0,1.0,6
E_857,NonMale,NonWhite,25-34,1.0,1.0,1.0,6
E_851,NonMale,White,35-44,1.6,1.0,1.0,6
E_852,Male,White,25-34,0.4,1.0,1.0,6
E_853,Male,White,35-44,2.0,1.0,1.0,6
E_832,NonMale,White,35-44,2.0,1.0,1.0,6
E_875,Male,NonWhite,25-34,1.8,1.0,1.0,6
E_879,NonMale,NonWhite,45-54,1.6,1.0,1.0,6
E_688,NonMale,White,45-54,0.6,1.0,1.0,5
E_689,NonMale,White,55+,1.4,1.0,1.0,5
E_690,NonMale,White,25-34,0.6,1.0,1.0,5
E_691,NonMale,White,55+,2.4,1.0,1.0,5
E_692,NonMale,White,35-44,3.0,1.0,1.0,5
E_693,Male,White,25-34,1.2,1.0,1.0,5
E_694,Male,White,55+,1.6,1.0,1.0,5
E_695,Male,White,45-54,1.2,1.0,1.0,5
E_696,NonMale,White,35-44,2.6,1.0,1.0,5
E_698,NonMale,White,55+,2.6,1.0,1.0,5
E_699,NonMale,White,45-54,2.4,1.0,1.0,5
E_706,NonMale,White,35-44,1.0,1.0,1.0,5
E_708,Male,White,25-34,1.2,1.0,1.0,5
E_718,NonMale,White,35-44,1.4,1.0,1.0,5
E_710,NonMale,NonWhite,25-34,1.8,1.0,1.0,5
E_711,NonMale,White,35-44,0.6,1.0,1.0,5
E_719,NonMale,NonWhite,45-54,2.4,1.0,1.0,5
E_707,Male,White,25-34,0.4,1.0,1.0,5
A_371,Male,White,25-34,5.2,5.433333333333335,12.22879670159223,6
A_372,Male,NonWhite,25-34,5.6,5.733333333333336,9.395380327559977,6
A_373,NonMale,White,35-44,3.4,4.366666666666669,8.349805279506851,6
A_374,Male,White,18-24,3.6,4.500000000000002,6.060138214092108,6
A_375,Male,NonWhite,25-34,4.2,5.033333333333336,7.963482059357986,6
A_376,NonMale,NonWhite,25-34,4.2,4.933333333333335,5.661874346012047,6
A_314,NonMale,White,25-34,3.2,4.450000000000001,4.8189828542478965,5
A_315,Male,White,25-34,4.6,5.183333333333335,11.5150357554561,5
A_316,NonMale,White,35-44,5.0,5.3000000000000025,8.173048006947576,5
A_317,Male,White,25-34,5.6,5.700000000000003,15.556349326631443,5
A_318,Male,NonWhite,18-24,3.0,4.383333333333335,5.529983093538088,5
A_319,NonMale,NonWhite,25-34,2.8,4.1833333333333345,5.7819998740209595,5
